Time(s)	      V	      Theta      	Psi_V       X       Y       Z       Mass       Gamma       DeltaY       DeltaZ        Alpha       Beta       Gamma_V       nx2       ny2       nz2        mach       X       Y       Z       X0       Y0       Z0       X_delta       Y_delta        Z_delta       P       q       wx       DeltaY4       DeltaZ4       JX       YZ       S       L       mywx_beta  cy/cx 
0.380000       248.100010       0.000000       0.000000       94.638388       2.000000       0.000000       18.400000       0.000000       0.000000       7.942376       2.538452       0.000000       0.000000       -0.507061       1.000000       -0.000000       0.729101       91.433225       180.366998       0.000000       87.609294       164.093128       0.000000       3.823931       16.273870       0.000000       0.000000       37694.611390       0.000000       0.000000       7.942376       0.024000       1.570000       0.011400       1.027000       0.000000       1.972664       
0.390000       248.050329       0.000000       0.000000       97.119139       2.000000       0.000000       18.400000       0.000000       0.000000       7.944098       2.538452       0.000000       0.000000       -0.506828       1.000000       -0.000000       0.728955       91.391283       180.297342       0.000000       87.567770       164.026452       0.000000       3.823513       16.270890       0.000000       0.000000       37679.516651       0.000000       0.000000       7.944098       0.024000       1.570000       0.011400       1.027000       0.000000       1.972807       
0.400000       248.000665       0.000000       0.000000       99.599394       2.000000       0.000000       18.400000       0.000000       0.000000       7.951357       2.539673       0.000000       0.000000       -0.506670       1.000000       -0.000000       0.728809       91.362702       180.327531       0.000000       87.534998       164.046977       0.000000       3.827704       16.280553       0.000000       0.000000       37664.430023       0.000000       0.000000       7.951357       0.024000       1.570000       0.011400       1.027000       0.000000       1.973754       
0.410000       247.951022       0.000000       0.000000       102.079153       2.000000       0.000000       18.400000       0.000000       0.000000       7.958620       2.540894       0.000000       0.000000       -0.506511       1.000000       -0.000000       0.728663       91.334139       180.357689       0.000000       87.502247       164.067472       0.000000       3.831892       16.290217       0.000000       0.000000       37649.352598       0.000000       0.000000       7.958620       0.024000       1.570000       0.011400       1.027000       0.000000       1.974702       
0.420000       247.901395       0.000000       0.000000       104.558415       2.000000       0.000000       18.400000       0.000000       0.000000       7.960344       2.540894       0.000000       0.000000       -0.506279       1.000000       -0.000000       0.728517       91.292267       180.288073       0.000000       87.460797       164.000839       0.000000       3.831470       16.287234       0.000000       0.000000       37634.283271       0.000000       0.000000       7.960344       0.024000       1.570000       0.011400       1.027000       0.000000       1.974845       
0.430000       247.851785       0.000000       0.000000       107.037181       2.000000       0.000000       18.400000       0.000000       0.000000       7.967612       2.542114       0.000000       0.000000       -0.506121       1.000000       -0.000000       0.728371       91.263740       180.318196       0.000000       87.428087       164.021300       0.000000       3.835653       16.296896       0.000000       0.000000       37619.222033       0.000000       0.000000       7.967612       0.024000       1.570000       0.011400       1.027000       0.000000       1.975792       
0.440000       247.802195       0.000000       0.000000       109.515451       2.000000       0.000000       18.400000       0.000000       0.000000       7.974883       2.543335       0.000000       0.000000       -0.505963       1.000000       -0.000000       0.728225       91.235231       180.348290       0.000000       87.395398       164.041731       0.000000       3.839834       16.306559       0.000000       0.000000       37604.169979       0.000000       0.000000       7.974883       0.024000       1.570000       0.011400       1.027000       0.000000       1.976740       
0.450000       247.752622       0.000000       0.000000       111.993225       2.000000       0.000000       18.400000       0.000000       0.000000       7.976609       2.543335       0.000000       0.000000       -0.505731       1.000000       -0.000000       0.728080       91.193429       180.278713       0.000000       87.354022       163.975141       0.000000       3.839407       16.303572       0.000000       0.000000       37589.126003       0.000000       0.000000       7.976609       0.024000       1.570000       0.011400       1.027000       0.000000       1.976883       
0.460000       247.703066       0.000000       0.000000       114.470503       2.000000       0.000000       18.400000       0.000000       0.000000       7.983886       2.544556       0.000000       0.000000       -0.505573       1.000000       -0.000000       0.727934       91.164956       180.308771       0.000000       87.321373       163.995537       0.000000       3.843583       16.313233       0.000000       0.000000       37574.090098       0.000000       0.000000       7.983886       0.024000       1.570000       0.011400       1.027000       0.000000       1.977830       
0.470000       247.653530       0.000000       0.000000       116.947286       2.000000       0.000000       18.400000       0.000000       0.000000       7.991166       2.545776       0.000000       0.000000       -0.505415       1.000000       -0.000000       0.727789       91.136501       180.338798       0.000000       87.288746       164.015904       0.000000       3.847755       16.322894       0.000000       0.000000       37559.063355       0.000000       0.000000       7.991166       0.024000       1.570000       0.011400       1.027000       0.000000       1.978777       
