TIME(s)       V       a11       a12       a13       a14       a15       a16       a21       a22       a23       a24       a24_       a25       a25_       a26       a31       a32       a33       a34       a35       a36       b11       b12       b13       b14       b15       b16       b17       b18       b21       b22       b23       b24       b24_       b25       b25_       b26       b27       b28       b31       b32       b33       b34       b35       b36       b37       b38       q       ny2       nz2       
0.350000       248.249156       -2.537390       0.000000       -9.800000       -21.913346       -2.687094       0.054348       1.972308       -1.645145       0.000000       -362.839074       0.000000       119.213230       0.000000       0.636943       0.000605       0.000000       0.000000       0.897502       0.021719       0.000219       -4.363858       0.000000       0.000000       0.000000       0.000000       0.000000       227.654716       41.666667       0.000000       -1.587661       0.000000       -308.554224       0.000000       94.574535       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000979       0.000000       0.820976       0.053880       -0.039438       0.000000       -0.000219       37739.945425       1.000000       -0.000000
0.360000       248.199422       -2.536855       0.000000       -9.800000       -21.902618       -2.685463       0.054348       1.973395       -1.644698       0.000000       -362.693709       0.000000       119.131561       0.000000       0.636943       0.000606       0.000000       0.000000       0.897314       0.021719       0.000219       -4.362984       0.000000       0.000000       0.000000       0.000000       0.000000       227.518899       41.666667       0.000000       -1.587157       0.000000       -308.435527       0.000000       94.525254       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000980       0.000000       0.820815       0.053866       -0.039446       0.000000       -0.000219       37724.825586       1.000000       -0.000000
0.370000       248.149707       -2.536320       0.000000       -9.800000       -21.891895       -2.683833       0.054348       1.974481       -1.644251       0.000000       -362.548426       0.000000       119.049958       0.000000       0.636943       0.000608       0.000000       0.000000       0.897127       0.021719       0.000219       -4.362110       0.000000       0.000000       0.000000       0.000000       0.000000       227.382822       41.666667       0.000000       -1.586653       0.000000       -308.316895       0.000000       94.476006       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000981       0.000000       0.820653       0.053853       -0.039454       0.000000       -0.000219       37709.714243       1.000000       -0.000000
0.380000       248.100010       -2.535786       0.000000       -9.800000       -21.881180       -2.682203       0.054348       1.975567       -1.643804       0.000000       -362.403224       0.000000       118.968420       0.000000       0.636943       0.000609       0.000000       0.000000       0.896939       0.021720       0.000219       -4.361236       0.000000       0.000000       0.000000       0.000000       0.000000       227.246487       41.666667       0.000000       -1.586149       0.000000       -308.198329       0.000000       94.426792       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000982       0.000000       0.820491       0.053839       -0.039461       0.000000       -0.000219       37694.611390       1.000000       -0.000000
0.390000       248.050329       -2.534851       0.000000       -9.800000       -21.871211       -2.680739       0.054348       1.975599       -1.643377       0.000000       -362.258101       0.000000       118.903241       0.000000       0.636943       0.000609       0.000000       0.000000       0.896752       0.021716       0.000219       -4.360363       0.000000       0.000000       0.000000       0.000000       0.000000       227.072660       41.666667       0.000000       -1.585721       0.000000       -308.074911       0.000000       94.379577       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000982       0.000000       0.820319       0.053825       -0.039469       0.000000       -0.000219       37679.516651       1.000000       -0.000000
0.400000       248.000665       -2.534317       0.000000       -9.800000       -21.860507       -2.679112       0.054348       1.976685       -1.642930       0.000000       -362.113055       0.000000       118.821823       0.000000       0.636943       0.000610       0.000000       0.000000       0.896564       0.021717       0.000219       -4.359490       0.000000       0.000000       0.000000       0.000000       0.000000       226.936003       41.666667       0.000000       -1.585218       0.000000       -307.956472       0.000000       94.330428       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000983       0.000000       0.820158       0.053812       -0.039477       0.000000       -0.000219       37664.430023       1.000000       -0.000000
0.410000       247.951022       -2.533784       0.000000       -9.800000       -21.849810       -2.677486       0.054348       1.977771       -1.642484       0.000000       -361.968098       0.000000       118.740474       0.000000       0.636943       0.000612       0.000000       0.000000       0.896377       0.021717       0.000219       -4.358617       0.000000       0.000000       0.000000       0.000000       0.000000       226.799097       41.666667       0.000000       -1.584715       0.000000       -307.838104       0.000000       94.281314       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000984       0.000000       0.819996       0.053798       -0.039485       0.000000       -0.000219       37649.352598       1.000000       -0.000000
0.420000       247.901395       -2.532850       0.000000       -9.800000       -21.839860       -2.676025       0.054348       1.977803       -1.642058       0.000000       -361.823218       0.000000       118.675455       0.000000       0.636943       0.000612       0.000000       0.000000       0.896189       0.021714       0.000219       -4.357745       0.000000       0.000000       0.000000       0.000000       0.000000       226.625307       41.666667       0.000000       -1.584287       0.000000       -307.714891       0.000000       94.234197       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000984       0.000000       0.819825       0.053784       -0.039493       0.000000       -0.000219       37634.283271       1.000000       -0.000000
0.430000       247.851785       -2.532318       0.000000       -9.800000       -21.829176       -2.674401       0.054348       1.978889       -1.641612       0.000000       -361.678417       0.000000       118.594225       0.000000       0.636943       0.000613       0.000000       0.000000       0.896002       0.021714       0.000219       -4.356873       0.000000       0.000000       0.000000       0.000000       0.000000       226.488082       41.666667       0.000000       -1.583784       0.000000       -307.596649       0.000000       94.185148       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000985       0.000000       0.819663       0.053770       -0.039501       0.000000       -0.000219       37619.222033       1.000000       -0.000000
0.440000       247.802195       -2.531786       0.000000       -9.800000       -21.818498       -2.672779       0.054348       1.979975       -1.641166       0.000000       -361.533703       0.000000       118.513064       0.000000       0.636943       0.000615       0.000000       0.000000       0.895815       0.021714       0.000219       -4.356001       0.000000       0.000000       0.000000       0.000000       0.000000       226.350608       41.666667       0.000000       -1.583282       0.000000       -307.478479       0.000000       94.136135       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000986       0.000000       0.819502       0.053757       -0.039509       0.000000       -0.000219       37604.169979       1.000000       -0.000000
